time (milliseconds since 1970-01-01),longwave (W/m^2)
1.5050364E12,1.5579499859086354E-6
1.50503646E12,1.509739945504407E-6
1.50503652E12,1.4661400200566277E-6
1.50503658E12,1.4273299484557356E-6
1.50503664E12,1.385810037390911E-6
1.5050367E12,1.342500013379322E-6
1.50503676E12,1.3285599607115728E-6
1.50503682E12,1.2703000038527534E-6
1.50503688E12,1.2132200026826467E-6
1.50503694E12,1.186329996016866E-6
1.505037E12,1.1774000086006708E-6
1.50503706E12,1.1407699957999284E-6
1.50503712E12,1.1543299933691742E-6
1.50503718E12,1.116070052376017E-6
1.50503724E12,1.0510300398891559E-6
1.5050373E12,9.892370371744619E-7
1.50503736E12,9.438430197405978E-7
1.50503742E12,9.120020081354596E-7
1.50503748E12,8.802520028439176E-7
1.50503754E12,8.640209898658213E-7
1.5050376E12,8.432550089310098E-7
1.50503766E12,8.12589973975264E-7
1.50503772E12,7.828750199223578E-7
1.50503778E12,7.576829830213683E-7
1.50503784E12,7.467380100933951E-7
1.5050379E12,7.187870210145775E-7
1.50503796E12,7.016420227046183E-7
1.50503802E12,6.834180226178432E-7
1.50503808E12,6.663220233349421E-7
1.50503814E12,6.543360200339521E-7
1.5050382E12,6.504009775198938E-7
1.50503826E12,6.423509830710827E-7
1.50503832E12,6.284529945332906E-7
1.50503838E12,6.181080038913933E-7
1.50503844E12,6.117759880908125E-7
1.5050385E12,6.012829771862016E-7
1.50503856E12,5.886669782739773E-7
1.50503862E12,5.782169978374441E-7
1.50503868E12,5.741459858654707E-7
1.50503874E12,5.694299716196838E-7
1.5050388E12,5.626579877571203E-7
1.50503886E12,5.55421991066396E-7
1.50503892E12,5.514169743037201E-7
1.50503898E12,5.451100264508568E-7
1.50503904E12,5.387769874687365E-7
1.5050391E12,5.315409907780122E-7
1.50503916E12,5.318299827195005E-7
1.50503922E12,5.31449984464416E-7
1.50503928E12,5.328070074028801E-7
1.50503934E12,5.29294993611984E-7
1.5050394E12,5.243040277491673E-7
1.50503946E12,5.261139790491143E-7
1.50503952E12,5.271959935271298E-7
1.50503958E12,5.285559723233746E-7
1.50503964E12,5.294600100569369E-7
1.5050397E12,5.327170242708235E-7
1.50503976E12,5.511549829861906E-7
1.50503982E12,5.813830057377345E-7
1.50503988E12,6.187410122038273E-7
1.50503994E12,6.497019739981624E-7
1.50504E12,6.787140023334359E-7
1.50504006E12,7.082030037963705E-7
1.50504012E12,7.539740067841194E-7
1.50504018E12,8.067469821071427E-7
1.50504024E12,8.569140277359111E-7
1.5050403E12,9.012380246531393E-7
1.50504036E12,9.447289812669624E-7
1.50504042E12,9.65372009886778E-7
1.50504048E12,9.812019925448112E-7
1.50504054E12,9.967569667423959E-7
1.5050406E12,9.98388031803188E-7
1.50504066E12,9.872619557427242E-7
1.50504072E12,9.77582999439619E-7
1.50504078E12,9.581949598214123E-7
1.50504084E12,9.439330028726545E-7
1.5050409E12,9.438430197405978E-7
1.50504096E12,9.267159839509986E-7
1.50504102E12,9.207760172103008E-7
1.50504108E12,9.905189699566108E-7
1.50504114E12,9.532109856991156E-7
1.5050412E12,9.829200280364603E-7
1.50504126E12,1.0287800478181452E-6
1.50504132E12,1.068670030690555E-6
1.50504138E12,1.1116600262539578E-6
1.50504144E12,1.1524399496920523E-6
1.5050415E12,1.1944999869228923E-6
1.50504156E12,1.2193800102977548E-6
1.50504162E12,1.22904998534068E-6
1.50504168E12,1.239910034200875E-6
1.50504174E12,1.2464900009945268E-6
1.5050418E12,1.243159999830823E-6
1.50504186E12,1.2440699492799467E-6
1.50504192E12,1.2536600024759537E-6
1.50504198E12,1.2611800457307254E-6
1.50504204E12,1.2722000519715948E-6
1.5050421E12,1.2740999864035985E-6
1.50504216E12,1.2603900358953979E-6
1.50504222E12,1.2565500355776749E-6
1.50504228E12,1.242170014847943E-6
1.50504234E12,1.2309500334595214E-6
1.5050424E12,1.2061799452567357E-6
1.50504246E12,1.1845500011986587E-6
1.50504252E12,1.1623900491031236E-6
1.50504258E12,1.1378899671399267E-6
1.50504264E12,1.1130000530101825E-6
1.5050427E12,1.092639990929456E-6
1.50504276E12,1.068630012923677E-6
1.50504282E12,1.046779971147771E-6
1.50504288E12,1.028149995363492E-6
1.50504294E12,1.016750047710957E-6
1.505043E12,9.989430509449448E-7
1.50504306E12,9.79120954980317E-7
1.50504312E12,9.605770401321934E-7
1.50504318E12,9.425430107512511E-7
1.50504324E12,9.278319907934929E-7
1.5050433E12,9.078410130314296E-7
1.50504336E12,8.873680030774267E-7
1.50504342E12,8.650549716548994E-7
1.50504348E12,8.447020150015305E-7
1.50504354E12,8.260680033345125E-7
1.5050436E12,8.117310130728583E-7
1.50504366E12,7.971220270519552E-7
1.50504372E12,7.856339721001859E-7
1.50504378E12,7.795520104991738E-7
1.50504384E12,7.72517978475662E-7
1.5050439E12,7.607579846080625E-7
1.50504396E12,7.52096013911796E-7
1.50504402E12,7.303650022549846E-7
1.50504408E12,7.148969984882569E-7
1.50504414E12,7.101929782038496E-7
1.5050442E12,7.005049837971455E-7
1.50504426E12,6.892980195516429E-7
1.50504432E12,6.821509828114358E-7
1.50504438E12,6.753219849997549E-7
1.50504444E12,6.722009970872023E-7
1.5050445E12,6.62161028230912E-7
1.50504456E12,6.676780230918666E-7
1.50504462E12,6.792570275138132E-7
1.50504468E12,6.927350000296428E-7
1.50504474E12,6.99518977853586E-7
1.5050448E12,7.250760063470807E-7
1.50504486E12,7.226760203593585E-7
1.50504492E12,7.268370154633885E-7
1.50504498E12,7.352189754783467E-7
1.50504504E12,7.526169838456553E-7
1.5050451E12,8.013739716261625E-7
1.50504516E12,8.94543973117834E-7
1.50504522E12,8.773120043770177E-7
1.50504528E12,8.440690066890966E-7
1.50504534E12,8.572760066272167E-7
1.5050454E12,8.62972001414164E-7
1.50504546E12,8.209120210267429E-7
1.50504552E12,7.923280236354913E-7
1.50504558E12,7.664360168746498E-7
1.50504564E12,7.527979732913082E-7
1.5050457E12,7.458330060217122E-7
1.50504576E12,7.824680210433144E-7
1.50504582E12,8.908650102057436E-7
1.50504588E12,9.643770226830384E-7
1.50504594E12,1.0214499752692063E-6
1.505046E12,1.0680199693524628E-6
1.50504606E12,1.0458800261403667E-6
1.50504612E12,9.908800393532147E-7
1.50504618E12,9.715739679450053E-7
1.50504624E12,9.556019904266577E-7
1.5050463E12,9.526169719720201E-7
1.50504636E12,9.428479756934394E-7
1.50504642E12,9.33887008613965E-7
1.50504648E12,9.294599863096664E-7
1.50504654E12,9.207760172103008E-7
1.5050466E12,8.970740168479097E-7
1.50504666E12,8.72833993526001E-7
1.50504672E12,8.622509994893335E-7
1.50504678E12,1.0423500498291105E-6
1.50504684E12,1.4932500107533997E-6
1.5050469E12,1.2405399729686906E-6
1.50504696E12,9.922370054482599E-7
1.50504702E12,8.865810059432988E-7
1.50504708E12,9.129070122071425E-7
1.50504714E12,9.445669775232091E-7
1.5050472E12,9.55222049014992E-7
1.50504726E12,9.82648998615332E-7
1.50504732E12,1.0318600516256993E-6
1.50504738E12,1.1100099754912662E-6
1.50504744E12,1.2376599443086889E-6
1.5050475E12,1.3688099897990469E-6
1.50504756E12,1.5186100199571229E-6
